MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.2650000,0.0346209,0.2942893,-0.0894409
MsgID.LOCAL_VELOCITY,38.2650000,0.0000179,0.0000076,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924794,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.5150000,-0.1143703,0.2662825,-0.0843806
MsgID.LOCAL_VELOCITY,38.5150000,0.0000070,-0.0000073,0.0000135
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924787,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.7650000,-0.1959619,0.2062007,-0.0820674
MsgID.LOCAL_VELOCITY,38.7650000,0.0000314,-0.0000092,0.0000173
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.0150000,-0.0628380,0.2114346,-0.0815538
MsgID.LOCAL_VELOCITY,39.0150000,0.0000158,0.0000056,0.0000160
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924799,0.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.4800000
MsgID.LOCAL_POSITION,39.2650000,-0.0523077,0.1265222,-0.2090196
MsgID.LOCAL_VELOCITY,39.2650000,0.0000693,0.0026801,-1.4894344
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924798,0.8800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.2200000
MsgID.LOCAL_POSITION,39.5150000,-0.0709615,0.1339917,-0.8819759
MsgID.LOCAL_VELOCITY,39.5150000,-0.0005406,0.0083857,-3.2259865
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924798,1.6970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-3.6400000
MsgID.LOCAL_POSITION,39.7650000,-0.0658988,0.1651104,-1.6979814
MsgID.LOCAL_VELOCITY,39.7650000,0.0036024,0.0106322,-3.6445634
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924811,2.7050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.8400000
MsgID.LOCAL_POSITION,40.0150000,0.0804789,0.2607043,-2.7051804
MsgID.LOCAL_VELOCITY,40.0150000,0.0017120,0.0068785,-3.8434260
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924802,3.6090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.8800000
MsgID.LOCAL_POSITION,40.2660000,-0.0282503,0.4291432,-3.6098332
MsgID.LOCAL_VELOCITY,40.2660000,-0.0081435,-0.0040126,-3.8879154
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924799,4.6650000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-3.8800000
MsgID.LOCAL_POSITION,40.5160000,-0.0582762,0.2849880,-4.6654658
MsgID.LOCAL_VELOCITY,40.5160000,-0.0107874,-0.0185882,-3.8847966
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924802,5.3190000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-1.5100000
MsgID.LOCAL_POSITION,40.7660000,-0.0193969,0.4099590,-5.3192816
MsgID.LOCAL_VELOCITY,40.7660000,-0.0101075,-0.0176536,-1.5116081
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924790,5.3950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,1.1100000
MsgID.LOCAL_POSITION,41.0160000,-0.1584833,0.2963955,-5.3954730
MsgID.LOCAL_VELOCITY,41.0160000,-0.0094548,-0.0165137,1.1195999
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924785,4.9900000
MsgID.LOCAL_VELOCITY,0.0000000,0.3000000,-0.1000000,2.0100000
MsgID.LOCAL_POSITION,41.2660000,-0.2094733,0.2924278,-4.9909105
MsgID.LOCAL_VELOCITY,41.2660000,0.3028029,-0.1018319,2.0180788
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924820,4.7290000
MsgID.LOCAL_VELOCITY,0.0000000,2.2300000,-0.4900000,0.0800000
MsgID.LOCAL_POSITION,41.5160000,0.1748093,0.2516604,-4.7295318
MsgID.LOCAL_VELOCITY,41.5160000,2.2354059,-0.4905131,0.0852933
MsgID.GLOBAL_POSITION,0.0000000,-122.3974524,37.7924887,4.8710000
MsgID.LOCAL_VELOCITY,0.0000000,2.3800000,-0.4900000,-0.7800000
MsgID.LOCAL_POSITION,41.7660000,0.9191909,0.0766534,-4.8714695
MsgID.LOCAL_VELOCITY,41.7660000,2.3895550,-0.4986924,-0.7866553
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974537,37.7924948,4.9660000
MsgID.LOCAL_VELOCITY,0.0000000,2.1600000,-0.3600000,0.1600000
MsgID.LOCAL_POSITION,42.0160000,1.6032695,-0.0392444,-4.9660611
MsgID.LOCAL_VELOCITY,42.0160000,2.1610403,-0.3614270,0.1633430
MsgID.GLOBAL_POSITION,0.0000000,-122.3974544,37.7924976,4.8920000
MsgID.LOCAL_VELOCITY,0.0000000,1.6500000,-0.1600000,0.2100000
MsgID.LOCAL_POSITION,42.2660000,1.9124017,-0.1021910,-4.8920541
MsgID.LOCAL_VELOCITY,42.2660000,1.6562063,-0.1633599,0.2124117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974545,37.7925004,4.8690000
MsgID.LOCAL_VELOCITY,0.0000000,1.8400000,0.0500000,-0.2800000
MsgID.LOCAL_POSITION,42.5160000,2.2232969,-0.1140778,-4.8690376
MsgID.LOCAL_VELOCITY,42.5160000,1.8468295,0.0557856,-0.2826696
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7925049,4.9090000
MsgID.LOCAL_VELOCITY,0.0000000,1.9500000,0.1300000,-0.3100000
MsgID.LOCAL_POSITION,42.7660000,2.7256074,-0.0563925,-4.9095283
MsgID.LOCAL_VELOCITY,42.7660000,1.9588029,0.1320512,-0.3197794
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974546,37.7925108,4.8980000
MsgID.LOCAL_VELOCITY,0.0000000,2.1300000,0.1200000,-0.0800000
MsgID.LOCAL_POSITION,43.0160000,3.3737733,-0.1198860,-4.8986549
MsgID.LOCAL_VELOCITY,43.0160000,2.1339600,0.1219043,-0.0876489
MsgID.GLOBAL_POSITION,0.0000000,-122.3974552,37.7925154,4.8890000
MsgID.LOCAL_VELOCITY,0.0000000,1.9400000,0.1500000,-0.1900000
MsgID.LOCAL_POSITION,43.2660000,3.8813124,-0.1684661,-4.8890061
MsgID.LOCAL_VELOCITY,43.2660000,1.9416927,0.1594651,-0.1987451
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7925197,4.9100000
MsgID.LOCAL_VELOCITY,0.0000000,1.9800000,0.2100000,-0.2100000
MsgID.LOCAL_POSITION,43.5160000,4.3680172,-0.0162875,-4.9106021
MsgID.LOCAL_VELOCITY,43.5160000,1.9866940,0.2153390,-0.2140363
MsgID.GLOBAL_POSITION,0.0000000,-122.3974522,37.7925233,4.9160000
MsgID.LOCAL_VELOCITY,0.0000000,1.8800000,0.1400000,-0.1100000
MsgID.LOCAL_POSITION,43.7660000,4.7628860,0.0922044,-4.9164405
MsgID.LOCAL_VELOCITY,43.7660000,1.8835210,0.1419416,-0.1122137
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7925275,4.9200000
MsgID.LOCAL_VELOCITY,0.0000000,2.0700000,-0.0300000,-0.0200000
